date,cse,q.in,ec.in,t.in,q.out,ec.out,t.out,q.x
4/26/2003,,92,0,12.45,45,4.27,15.6,3.8
6/10/2003,10.5,19,2.53,19.3,142,3.06,22.9,40
7/1/2003,10.3,33,1.74,21.7,39,3.8,23.6,0.55
7/28/2003,10.7,30,1.64,24.2,5,4.48,23.7,0.81
10/25/2003,11.4,13,1.87,13.5,23,4.38,10.7,6.8
1/12/2004,NA,7.2,2.27,3.4,41,0,3.3,0
3/17/2004,16.9,5.6,2.41,13.25,31,4.71,12.1,0
5/1/2004,14.8,67,2.04,10.9,142,3.51,11.9,4.1
6/4/2004,10.1,42,1.24,20.8,15,4.37,21.9,0.15
6/29/2004,15,11,1.3,21.25,179,3.62,21.5,5.2
8/4/2004,9.64,22,1.17,24.95,73,0,24.8,0.8
11/6/2004,19.7,10,1.92,9,66,0,9,0.05
1/12/2005,NA,17,2.24,2.9,75,4.47,3,0
3/18/2005,NA,8.6,2.32,10.05,61,4.35,9.9,0
7/1/2005,NA,667,1.44,23.15,542,1.94,24.9,1.2
7/21/2005,NA,51,1.43,24.35,309,2.49,26.2,1.3
8/19/2005,10.7,16,1.36,22.8,20,4,23.3,0.6
12/3/2005,13,9.2,2.14,2.9,58,4.37,3.6,0
1/14/2006,NA,13,2.33,2.85,68,4.24,3.9,0
3/15/2006,16.4,9.5,2.42,8.35,42,4.59,9.8,0
5/16/2006,10.8,72,2.57,16.55,18,4.23,18.6,0.27
6/16/2006,NA,14,1.41,21.9,25,3.9,18.9,0.23
7/13/2006,4.78,554,1.15,26.2,570,1.38,28,0.55
8/10/2006,8.33,13,1.51,25.2,19,4.32,23.4,0.89
11/20/2006,NA,32,1.77,6.5,113,3.88,6.9,0
3/12/2007,9.37,48,2.39,10.25,268,3.97,11.3,0
5/18/2007,15.2,47,2.19,17.4,191,3.44,18.6,16
6/22/2007,8.76,14,1.75,20.6,141,3.43,23.9,1.2
7/24/2007,9.49,645,1.47,25.05,556,1.94,26.7,0.54
8/15/2007,3.46,21,1.47,26,81,0,25.3,0.19
11/18/2007,17,16,1.94,8.2,104,4.27,9.1,30
1/16/2008,NA,25,2.21,1.55,114,4.27,1.5,0
5/21/2008,15,18,2.2,16.15,53,4.25,19.1,0.55
7/16/2008,8.12,592,1.21,22.8,605,1.72,25.7,4.3
11/21/2008,14.5,25,1.92,5.25,105,4.2,5,47
3/12/2009,NA,11,2.31,7.2,84,4.22,4.6,0
6/25/2009,12.8,15,1.83,20.95,74,4.08,25,5.2
8/28/2009,13,12,1.61,22.85,96,3.87,22.6,29
1/6/2010,NA,22,2.28,2.6,131,4.21,2.3,0
3/19/2010,NA,11,2.26,7.55,120,4.23,7.6,0
6/10/2010,NA,18,2.06,21.05,46,4.17,23.6,0.02
8/11/2010,10.2,17,1.49,26.1,178,3.06,26.3,2.7
11/21/2010,17.1,3.5,2.05,6,65,4.38,7.6,3.1
3/8/2011,7.28,7.8,2.23,5.1,81,4.19,4.2,0
5/21/2011,13,11,2.4,15.6,25,4.39,18.8,0.32
8/16/2012,12.6,NA,NA,NA,NA,NA,NA,NA